URL,Funciona,Titulo
http://www.polya-db.org/v3.beta/,SI,
http://ncbr.muni.cz/ChannelsDB,SI,
http://opig.stats.ox.ac.uk/webapps/stcrdab,SI,
http://www.prodoric2.de,SI,
http://rna.sysu.edu.cn/rmbase/,SI,
http://www.rna-society.org/mndr/,SI,ChannelsDB
http://amypro.net,SI,STCRDab
http://cefg.uestc.edu.cn/anti-CRISPRdb/,NO,AmyPro database
http://rfam.org,SI,MNDR v3.1: Mammalian ncRNA-Disease Repository
http://tfclass.bioinf.med.uni-goettingen.de,SI,S.cerevisiae - Yeastract
http://www.yeastract.com/,SI,
http://ophid.utoronto.ca/mirDIP/,SI,Unidirectional search
http://mirandola.iit.cnr.it/,NO,
http://rmdb.stanford.edu,SI,algo salio mal
http://combio.snu.ac.kr/aspedia,SI,
http://target.sbg.qb.fcen.uba.ar/patho,SI, ELM - Search the ELM resource 
https://vdjdb.cdr3.net/.,SI,Transcription factor classification
http://elm.eu.org,SI,Target Pathogen
http://gene3d.biochem.ucl.ac.uk,SI,503 Service Temporarily Unavailable
http://www.gpcrdb.org,SI,VDJdb
http://iuucd.biocuckoo.org/,SI,
http://www.dsimb.inserm.fr/KNOTTIN/,NO,MobiDB
http://metalweb.cerm.unifi.it/,SI,algo salio mal
http://minimotifminer.org and mnm.engr.uconn.edu,SI,algo salio mal
https://mobidb.org,SI,SMART: Main page
https://omabrowser.org,SI,
http://pdbe.org,SI,sORFs.org: repository of small ORFs identified by ribosome profiling
http://smart.embl.de,SI,NLSdb
http://www.sorfs.org,SI,
https://rostlab.org/services/nlsdb/,SI,LINCS Data Portal
https://clustercad.jbei.org and http://clustercad.igb.uci.edu,SI,PAMDB - Pseudomonas aeruginosa Metabolome Database
http://cys.bios.niu.edu/dbCAN_seq_V1/,SI,
http://netbio.bgu.ac.il/diffnet,SI,"
        TriForC database
    "
http://disnor.uniroma2.it/,SI,M-CSA Mechanism and Catalytic Site Atlas
http://services.bromberglab.org/fusiondb/,SI,ValidatorDb
http://research.bioinformatics.udel.edu/iptmnet/,SI,SABIO Biochemical Reaction Kinetics Database
https://jmorp.megabank.tohoku.ac.jp/,NO,Erreur [CAZy - 404-ERROR]
http://lincsportal.ccs.miami.edu/dcic-portal/,SI,MetaCyc: Metabolic Pathways From all Domains of Life
http://fgrtools.hms.harvard.edu/ProteinSearch/,SI,
http://pseudomonas.umaryland.edu,SI,National Center for Biotechnology Information
http://iomics.ugent.be/tabloidproteome,SI,"PAGER3: A Pathways, Annotated-lists and Gene signatures Electronic Repository Version 3"
http://bioinformatics.psb.ugent.be/triforc/,SI,Home - Reactome Pathway Database
http://inetmodels.com,SI,EMBL-EBI: EMBL's European Bioinformatics Institute | EMBL’s European Bionformatics Institute
http://funcoup.sbc.su.se,SI,ICG
http://www.hmdb.ca,SI,Aniseed - Ascidian Network for In Situ Expression and Embryological Data
http://www.ebi.ac.uk/thornton-srv/m-csa,SI,SubtiWiki
https://MetaCyc.org,SI,UCSC Genome Browser Home
http://wu.scbb.pkusz.edu.cn/wdsp/,SI,Ensembl genome browser 106
http://www.sasbdb.org/,SI,
http://ncbr.muni.cz/ValidatorDB,SI,algo salio mal
http://www.ebi.ac.uk/merops/,SI,Imota - Interactive Multi Omics Tissue Atlas
http://moonlightingproteins.org,NO,
http://sabiork.h-its.org/,SI,Apache Tomcat/8.0.32 (Ubuntu) - Error report
http://wikipathways.org/,SI,iBeetle
http://wallace.uab.es/multitaskII,SI,"
   RefSeq: NCBI Reference Sequence Database
  "
https://reactome.org,SI,ENCODE
http://discovery.informatics.uab.edu/PAGER/,SI,MPD:  Mouse Phenome Database: Welcome 
http://www.cazy.org/PULDB_new/,SI,ADReCS-Target
http://microbiomeDB.org,SI,
https://mmp.sfb.uit.no/databases/,NO,
http://ictv.global,SI,CSCD
http://www.aniseed.cnrs.fr,SI, ActiveDriverDB'21 - front page 
http://www.ebi.ac.uk/metagenomics,SI,CR2Cancer
http://www.yeastgenome.org,SI,Welcome
http://subtiwiki.uni-goettingen.de/,SI,TC3A
http://bioinfo-mml.sjtu.edu.cn/TADB2/,SI,mSignatureDB
http://www.ensembl.org,SI,
https://genome.ucsc.edu,SI,
https://ccb-web.cs.uni-saarland.de/imota/,SI,TissGDB
http://pickles.hart-lab.org,SI,SEECancer
http://single-cell.clst.riken.jp/,SI,algo salio mal
http://stemmapper.sysbiolab.eu,SI,
https://www.encodeproject.org/,SI,algo salio mal
http://www.ensemblgenomes.org,SI,algo salio mal
http://www.flyatlas2.org,SI,"
   ClinVar
  "
http://genomicus.biologie.ens.fr/genomicus,SI,PGGPopulation
http://gwips.ucc.ie,SI,rSNPBase 3.1
http://ibeetle-base.uni-goettingen.de/,SI,algo salio mal
http://www.informatics.jax.org,NO,ECOdrug
https://phenome.jax.org,SI,
https://www.ncbi.nlm.nih.gov/refseq/,SI,algo salio mal
http://www.xenbase.org,SI,
http://www.wormbase.org,SI,algo salio mal
http://research.bioinformatics.udel.edu/iSyTE,SI,algo salio mal
http://bioinfo.wilmer.jhu.edu/AAgMarker/index.jsp,SI,DDBJ
http://bioinfo.imtech.res.in/manojk/abiofilm/,SI,
https://activedriverdb.org/,SI,FARME Database
http://bioinf.xmu.edu.cn/ADReCS-Target,SI,algo salio mal
http://cis.hku.hk/CR2Cancer,SI,AraGWAS Catalog
http://gb.whu.edu.cn/CSCD,SI,502 Bad Gateway
http://www.ecodrug.org,SI,CSDB help : migration from bacterial and Plant&Fungal CSDB
http://www.unimd.org/eram/,SI,KOBIC 국가생명연구자원정보센터
http://bigd.big.ac.cn/gvm/,SI,"
		Home	"
http://www.linkedomics.org,NO,algo salio mal
http://tardis.cgu.edu.tw/msignaturedb,SI,algo salio mal
http://hcmdb.i-sanger.com/index,NO,algo salio mal
http://bioinfo.life.hust.edu.cn/PancanQTL/,SI,Europe PMC
http://www.unimd.org/pedam/,SI,Loading...
https://www.pggpopulation.org,SI,algo salio mal
http://pharmacodb.pmgenomics.ca,SI,Peptaibol Database
http://sbcddb.moffitt.org,SI,ooTFD
http://tc3a.org/,SI, ELM - Search the ELM resource 
http://biocc.hrbmu.edu.cn/SEECancer,SI,BioStudies < The European Bioinformatics Institute < EMBL-EBI
http://zhaobioinfo.org/TissGDB,SI,Proteomics DB
http://varcards.biols.ac.cn/,SI,iProClass
http://autism.mindspec.org/autdb/Welcome.do,NO,OglycBase
http://bioinformatics.breastcancertissuebank.org/,SI,algo salio mal
https://www.ncbi.nlm.nih.gov/clinvar/,SI,Welcome to PIR [Protein Information Resource]
http://www.dgidb.org/,SI,The page you were looking for doesn't exist (404)
https://www.drugbank.ca/,SI,GelDB
http://genomics.senescence.info/,NO,algo salio mal
http://www.guidetopharmacology.org,SI,
http://www.pancreasexpression.org,SI,503 Service Temporarily Unavailable
http://rsnp3.psych.ac.cn,SI,404 Not Found
http://www.megabionet.org/tcmid/,SI,RMDB: RNA Mapping DataBase
http://bidd.nus.edu.sg/group/ttd/ttd.asp,SI,SUPFAM database
https://hive.biochemistry.gwu.edu/biomuta and https://hive.biochemistry.gwu.edu/bioxpress,SI,DBTSS Home
http://cheminfo.charite.de/superdrug2,SI,Pfam: Home page
http://www.tumorfusions.org,SI,Transfer RNA databases
https://aragwas.1001genomes.org,SI,ICGEB  Page not found
http://systemsbiology.cau.edu.cn/chromstates,SI,
http://www.planteome.org,NO,algo salio mal
http://www.gramene.org,NO,
https://bioinformatics.psb.ugent.be/plaza,SI,Activity Links
http://prgdb.org,SI,algo salio mal
https://peptracker.com/epd/,SI,fusiondb
http://staff.washington.edu/jwallace/farme/index.html,SI,Rfam: The RNA families database
http://csdb.glycoscience.ru/plant_fungal/,SI,Home < Expression Atlas < EMBL-EBI
http://cosylab.iiitd.edu.in/flavordb,SI,iPTMnet 
http://bidd2.nus.edu.sg/NPASS/,SI,"RNA Modification Database, RMBase v2.0: deciphering the map of RNA modifications from epitranscriptome sequencing data (Pseudo-seq, Ψ-seq, CeU-seq, Aza-IP, MeRIP-seq, m6A-seq, RiboMeth-seq, m1A-seq)."
http://pitdb.org,SI,algo salio mal
http://biodb.swu.edu.cn/qprimerdb,SI,"SCOPe: Structural Classification of Proteins — extended.  Release 2.08 (updated 2022-02-10, stable release September 2021)"
https://systemhcatlas.org/,SI,algo salio mal
http://www.ebi.ac.uk/biomodels,NO,Tabloid Proteome
https://europepmc.org,SI,DSDBASE Home Page
http://bioinformatics.charite.de/mvoc,SI,Nucleic Acid Database (NDB)
https://www.ebi.ac.uk/biostudies/,SI,algo salio mal
https://www.ProteomicsDB.org,SI,CATH: Protein Structure Classification Database at UCL
http://senselab.med.yale.edu/ordb/,SI,INET Models
http://www.ifti.org/ootfd,SI,PASS 2.7
http://peptaibol.cryst.bbk.ac.uk/,SI,
http://elm.eu.org/,SI,
http://www0.nih.go.jp/mirror/Kinases/,SI,PALI database
http://plantpis.ba.itb.cnr.it/,SI,Pickles3
https://proteininformationresource.org/,SI,MEROPS - the Peptidase Database
http://www.mbio.ncsu.edu/RNaseP/home.html,SI,
http://www.ncbi.nlm.nih.gov/Complete_Genomes/SignalCensus.html,SI,Human Metabolome Database
http://www.jcvi.org/cgi-bin/tigrfams/index.cgi,NO,Multitasking Protein DataBase
http://hits.isb-sib.ch/,SI,algo salio mal
http://wnt.stanford.edu/,NO,Small Angle Scattering Biological Data Bank SASBDB
http://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml,NO,404 Not Found
http://www.ebi.ac.uk/interpro,NO,Saccharomyces Genome Database | SGD
http://mobidb.bio.unipd.it/,NO,Home < MGnify < EMBL-EBI
http://biocomp.chem.uw.edu.pl/protop/,NO,DisNor
https://proteininformationresource.org/iproclass/,SI,PDBsum home page
http://www.cbs.dtu.dk/databases/OGLYCBASE/,SI,algo salio mal
http://pfam.xfam.org/,SI,
http://www.bioinf.man.ac.uk/dbbrowser/PRINTS/,SI,Networks of functional couplings/associations - FunCoup
http://prodom.prabi.fr/,SI,Ensembl Genomes
http://www.expasy.org/prosite/,NO,Legacy SCOP redirect
http://www.icgeb.org/sbase/,SI,
http://smart.embl.de/,NO,algo salio mal
http://supfam.mbu.iisc.ernet.in/,SI,algo salio mal
http://systers.molgen.mpg.de/,NO,SCPortalen
http://www.genome.jp/aaindex/,SI,404 Not Found
http://www.gelscape.ualberta.ca:8080/htm/gdbIndex.html,SI,Welcome to BAliBase 4
http://www.ebi.ac.uk/integr8/,SI,
http://rebase.neb.com/rebase/rebase.html,SI,UniCarbKB
http://www.expasy.org/ch2d/,SI,
http://mitodrome.ba.itb.cnr.it/,NO,Xenbase Home
http://www.cbil.upenn.edu/cgi-bin/tess/tess,SI,"Tree 
of Life Web Project"
http://ribosome.fandm.edu/,SI,SRS
http://biobases.ibch.poznan.pl/5SData/,SI,algo salio mal
http://wwwmgs.bionet.nsc.ru/mgs/systems/activity/,SI,
http://brp.kfshrc.edu.sa/ARED/,NO,Glycosciences.de  | Glycosciences.DB start page
http://pseudobaseplusplus.utep.edu/,SI,PedAM: Pediatric Disease Annotations & Medicines
http://rdp.cme.msu.edu/,SI,
http://wwwmgs.bionet.nsc.ru/mgs/systems/selex/,NO,
http://trnadb.bioinf.uni-leipzig.de/,SI,algo salio mal
http://utrdb.ba.itb.cnr.it/,SI,encyclopedia of Rare disease Annotation & Medicine
http://people.biochem.umass.edu/fournierlab/snornadb/snoRNA_DataBase.html,NO,Page Redirection
http://scop.berkeley.edu/,SI,algo salio mal
http://www.bmrb.wisc.edu/,SI,UCSC Genome Browser Home
http://www.cathdb.info/,SI,S/MART DB - The S/MAR transaction Database
http://www.ccdc.cam.ac.uk/solutions/csd-system/components/csd/,SI,TransportDB 2.0
http://bioinfo.mbb.yale.edu/MolMovDB/,SI,algo salio mal
http://caps.ncbs.res.in/dsdbase/dsdbase.html,SI,ProteomeScout Portal
http://xray.bmc.uu.se/hicup/,NO,DrugBank Online | Database for Drug and Drug Target Info
http://www.fli-leibniz.de/IMAGE.html,SI,Home | IUPHAR/BPS Guide to PHARMACOLOGY
http://www.ncbi.nlm.nih.gov/Structure/,SI,PancanQTL
http://ndbserver.rutgers.edu/,SI,
http://pali.mbu.iisc.ernet.in/,SI,algo salio mal
http://caps.ncbs.res.in/pass2/,SI,algo salio mal
http://www.rcsb.org/,SI,GeneNet database and GeneNet viewer
http://www.cbrc.jp/pdbreprdb/,SI,algo salio mal
http://www.ebi.ac.uk/pdbsum,SI,"
	PyIgClassify: An antibody CDRs clusters web site
"
https://www.iitm.ac.in/bioinfo/ProTherm2/,SI,ComPPI - Main Page
http://www.ebi.ac.uk/RESID/,NO,
http://scop.mrc-lmb.cam.ac.uk/scop,SI,RMVar-Database of functional variants involved in RNA modification
http://supfam.org/SUPERFAMILY/,SI,BioStudies < The European Bioinformatics Institute < EMBL-EBI
http://www.mshri.on.ca/nagy/,NO,algo salio mal
http://www.lbgi.fr/balibase/,SI,FlavorDB
http://www.unicarbkb.org/,SI,algo salio mal
http://www.iephb.nw.ru/labs/lab38/spirov/hox_pro/hox-pro00.html,SI,MEPD: Medaka Expression Pattern Database
http://www.otago.ac.nz/IGC/,SI,algo salio mal
http://bioinformatics.hsanmartino.it/mpdb/,SI,Ares Lab Yeast Intron Database
http://www.ncbi.nlm.nih.gov/Taxonomy/taxonomyhome.html,SI,ORDB: Home
http://www.ncbi.nlm.nih.gov/pubmed/,NO,403 Forbidden
http://www.ridom.de/,NO,algo salio mal
http://www.glycosciences.de/database/,SI,algo salio mal
http://tolweb.org/tree/phylogeny.html,SI,algo salio mal
http://downloads.yeastgenome.org/unpublished_data/vectordb/,SI,
http://viroligo.okstate.edu/,SI,PlantGDB - Resources for Plant Comparative Genomics
http://worfdb.dfci.harvard.edu/,SI,algo salio mal
http://www-deletion.stanford.edu/YDPM/YDPM_index.html,SI,ASpedia
http://www.transcriptome.ens.fr/ymgv/,NO,AAindex: Amino acid index database
http://wwwmgs.bionet.nsc.ru/mgs/gnw/aspd/,NO,tRFdb - A relational database of Transfer RNA related Fragments
http://smartdb.bioinf.med.uni-goettingen.de/,SI,Object not found!
http://www.membranetransport.org/,SI,"
        Home - National Genomics Data Center"
ftp://ftp.isrec.isb-sib.ch/pub/databases/,SI,MyHits
http://tropgenedb.cirad.fr/,NO,
http://ibb.uab.es/trsdb/,SI,prodoric-frontend
http://bidd.nus.edu.sg/group/cjttd/,SI,algo salio mal
http://genome.ucsc.edu/,SI,integr8 < EMBL-EBI
http://140.138.144.145/~dbSNO/index.php,SI,
https://proteomescout.wustl.edu/,SI,
http://www.depod.org,SI,
http://www.uniprot.org/,SI,Lipase Engineering Database
http://www.ncbi.nlm.nih.gov/probe,NO,
http://www.ncbi.nlm.nih.gov/VecScreen/UniVec.html,SI,5S rRNA | Welcome
http://spock.genes.nig.ac.jp/~genome/gtop.html,NO,
http://howdy.biosciencedbc.jp/HOWDY/top_en.pl,SI,Not Acceptable!
http://genecards.weizmann.ac.il/genenote/,SI,Nuclear Protein Database (NPD)
http://genecards.weizmann.ac.il/geneannot/,SI,404 Not Found
http://genenest.molgen.mpg.de/,NO,ASC
http://www.genedb.org/,SI, Decoys 'R' Us - A Database of Incorrect Protein Conformations (v1.3) 
http://wwwmgs.bionet.nsc.ru/mgs/gnw/genenet/,SI,Conformation Angles Database
http://www.genepaint.org/Frameset.html,SI,Rfam: The RNA families database
http://salilab.org/modbase/,SI,GPCRdb
http://corg.molgen.mpg.de/,SI,Census of bacterial signal transduction proteins
https://www.ebi.ac.uk/biostudies,SI,algo salio mal
http://dunbrack2.fccc.edu/PyIgClassify/default.aspx,SI,VKCDB âº Voltage-Gated Potassium Channel Database
http://www.ebi.ac.uk/intact/complex,SI,ApiDots
http://comppi.linkgroup.hu,SI,
http://mepd.cos.uni-heidelberg.de/mepd/,SI,euGenes: Eukaryote Genes
http://www.gene-regulation.com/,SI,algo salio mal
http://www.gene-regulation.com/pub/databases.html#transpath,SI, This page has moved
https://compbio.soe.ucsc.edu/yeast_introns.html,SI,algo salio mal
http://hapmap.ncbi.nlm.nih.gov/,SI,
http://www.gene-regulation.com/pub/databases.html#transcompel,SI,BMRB - Biological Magnetic Resonance Bank
http://genecards.weizmann.ac.il/geneloc/,SI,Arabidopsis thaliana Genome DB
http://www.genecards.org/,SI,
http://www.genoplante.com/,SI,404 Not Found
http://genomes.urv.es/HGT-DB/,SI,"
		ARAMEMNON --- plant membrane protein database (release 8.1)
		"
http://pedant.gsf.de/,SI,CBRC – Just another WordPress site
http://www.plantgdb.org/,SI,ICTV
http://www.yeastgenome.org/,SI,RCSB PDB: Homepage
http://source-search.princeton.edu/,SI,algo salio mal
http://ToxoDB.org/,SI,Not Acceptable!
http://hetpdbnavi.nagahama-i-bio.ac.jp/,SI,lncRNASNP2-human
http://p53.iarc.fr/,NO,
http://hivdb.stanford.edu/,SI,
http://bioportal.weizmann.ac.il/HORDE/,SI,"
	The Cambridge Structural Database (CSD)​ ​- The Cambridge Crystallographic Data Centre (CCDC)
"
http://www.ebi.ac.uk/ipd/,SI,BSORF Top Page
http://genome.bioch.virginia.edu/trfdb/,SI,WikiPathways - WikiPathways
http://proline.biochem.iisc.ernet.in/NRICHD/,SI,algo salio mal
http://www.led.uni-stuttgart.de/,SI,
http://npd.hgu.mrc.ac.uk/,SI,algo salio mal
http://fermi.utmb.edu/SDAP/,SI,Colibri Web Server
http://sevens.cbrc.jp/,NO,Welcome to qPrimerDB - qPCR Primer Database | qPrimerDB - qPCR Primer Database
http://bioinformatica.isa.cnr.it/ASC/,SI,"
Catalytic Site Atlas
"
http://www.cbs.dtu.dk/databases/NESbase/,NO,
http://rostlab.org/services/nlsdb/,SI,
http://www.fp.ucalgary.ca/group2introns/,SI,
http://biobases.ibch.poznan.pl/ncRNA/,SI,
http://rfam.xfam.org/,SI,
http://mvp.medgenius.info,SI,
http://cluster.physics.iisc.ernet.in/cadb/,SI,
http://compbio.buffalo.edu/dd//,SI,
http://projects.villa-bosch.de/dbase/dsmm/,SI,algo salio mal
http://www.ebi.ac.uk/GOA,SI,FlyAtlas 2: The RNAseq-based atlas of Drosophila gene expression
http://lncrna.big.ac.cn,SI,SUPERFAMILY database of structural and functional protein annotations for all completely sequenced organisms
http://www.microbial-ecology.net/probebase/,SI,  WormBase : Nematode Information Resource
http://www.ncbi.nlm.nih.gov/RefSeq/,SI,404 Not Found
http://www.pharmgkb.org/,SI,JS Bin
http://www.plantgdb.org/AtGDB/,SI,503 Service Temporarily Unavailable
http://bibiserv.techfak.uni-bielefeld.de/stcdb/,SI,"
DEPOD - human DEPhOsphorylation Database
"
http://eugenes.org/,SI,CMHD - Gene Trap
http://vkcdb.biology.ualberta.ca/,SI,GtRNAdb: Genomic tRNA Database
http://aclame.ulb.ac.be/,NO,503 Service Temporarily Unavailable
http://aps.unmc.edu/AP/main.php,NO,algo salio mal
http://www.cbil.upenn.edu/apidots/,SI,The UniVec Database
http://appadb.eb.tuebingen.mpg.de,SI,
http://aramemnon.botanik.uni-koeln.de/,SI,algo salio mal
http://sbi.imim.es/archdb/,NO,algo salio mal
https://asap.ahabs.wisc.edu/annotation/php/ASAP1.htm,SI,Human Genome Variation Society
http://cgap.nci.nih.gov/Pathways/BioCarta_Pathways,SI,The Wellcome Sanger Institute - Development server
http://biocyc.org/,SI,Genome Variation Map
http://www.brenda-enzymes.org/,SI,ModBase Search Page
http://rnacentral.org/,SI,
http://bioinfo.life.hust.edu.cn/lncRNASNP/,SI,
http://bacillus.genome.jp/,SI,algo salio mal
http://www.cadre-genomes.org.uk,SI,Gene Regulation
http://www.catma.org/,SI,GeneNote
http://redpoll.pharmacy.ualberta.ca/CCDB/,SI,GeneAnnot Homepage
http://www.glycome-db.org/getDownloadPage.action?page=carbbank,NO,
http://cleanex.vital-it.ch/,SI,algo salio mal
http://xbase.warwick.ac.uk/colibase/,SI,Gene Regulation
http://genolist.pasteur.fr/Colibri/,SI,UniProt
http://www.flymine.org/come/,NO,Gene Regulation
http://cryptodb.org/,SI,Complex Portal
http://www.ebi.ac.uk/thornton-srv/databases/CSA/,SI,NCBI
http://ekhidna.biocenter.helsinki.fi/dali/start/,SI,Het-PDB Navi2
http://bidd.nus.edu.sg/group/drt/dart.asp,SI,
http://www.essentialgene.org,SI,LOX-DB - LipOXygenases DataBase
http://dictybase.org/,NO,GeneLoc
http://www.dabi.temple.edu/disprot/,SI,Saccharomyces Genome Database | SGD
http://www.domins.org/,NO,SOURCE Search
http://www.ebi.ac.uk/genomes/,SI,MitoProteome : Home
http://www.ebi.ac.uk/pdbe/,SI, MG 3.0 
http://www.ncbi.nlm.nih.gov/sites/entrez?db=genome,SI,dreamBase: Expressed Pseudogene database in Human Health and Disease
http://www.chem.qmul.ac.uk/iubmb/enzyme/,SI,IPD Database
http://www.genome.wisc.edu/resources/essential.htm,NO,
http://www.psb.ugent.be/rRNA/,SI,algo salio mal
http://eyesite.cryst.bbk.ac.uk/,SI,403 Forbidden
http://fantom.gsc.riken.jp/,NO,Home page SSToSS
http://flytrap.med.yale.edu/,NO,PGDB: Human Prostate Gene Database
http://www.fruitfly.org/,SI,algo salio mal
http://gene3d.biochem.ucl.ac.uk/Gene3D/,SI,NLSdb
http://ghr.nlm.nih.gov/,SI,algo salio mal
http://www.ncbi.nlm.nih.gov/Taxonomy/Utils/wprintgc.cgi,SI,algo salio mal
http://www.cmhd.ca/genetrap/,SI,algo salio mal
http://www.germonline.org/,SI,"
kernel (20) - URGI
"
http://www.genome.jp/kegg/glycan/,SI,algo salio mal
http://www.geneontology.org,SI,RNAiDB Home
http://wheat.pw.usda.gov/,SI, DSMM: Database of Simulated Molecular Motions
http://gene3d.biochem.ucl.ac.uk/Gene3D/,SI,PharmGKB
http://gtrnadb.ucsc.edu/,SI,algo salio mal
http://globin.bx.psu.edu/hbvar/,SI,Not Acceptable!
http://hcv.lanl.gov/,SI,algo salio mal
http://hembase.niddk.nih.gov/,SI,502 Bad Gateway
http://herv.img.cas.cz/,SI,ä¸è¬è²¡å£æ³äººãèç½è³ªç ç©¶å¥¨å±ä¼
http://www.hgvs.org/,SI,
http://www.hiv.lanl.gov/content/sequence/RESDB/,SI,algo salio mal
http://mizuguchilab.org/homstrad/,SI,404 Not Found
http://receptome.stanford.edu/,SI,
http://www.hprd.org/,NO,Introduction :: Brassica Genome
http://research.nhgri.nih.gov/scid/,SI,
http://www.imgt.org/,SI,spliceNest - prediction of gene structure and alternative splicing based on EST consensus sequences
http://www.imgt.org/IMGT_GENE-DB/GENElect?livret=0/,SI,
http://www.imgt.org/,SI,THGS
http://fmf.igh.cnrs.fr/infevers/,SI,PlantProm - Plant Promoter Database
http://www.ebi.ac.uk/intact/,SI,GOA | European Bioinformatics Institute
http://www.ebi.ac.uk/intenz/,SI,algo salio mal
http://www.sdbonline.org/fly/aimain/1aahome.htm,SI,Ribosomal Protein Gene Database (RPG)
http://www.chem.qmul.ac.uk/iubmb/,SI,PDBe home < Node < EMBL-EBI
http://www.chem.qmul.ac.uk/iupac/,SI,Bioinformatics Group of FBB MSU
http://jaspar.genereg.net,SI,"
kernel (20) - URGI
"
http://knottin.cbs.cnrs.fr/,SI,BDGP: Home
http://www.dkfz.de/gpcf/lifedb.php,SI,GermOnline Systems Browser
http://research.nhgri.nih.gov/lowe/,SI,TCAG : The Chromosome 7 Annotation Project
http://www.glycosciences.de/spec/lox-db/,SI,SCPD
http://www.broadinstitute.org/annotation/fungi/magnaporthe/,SI,VBASE2 - the integrative germ-line V gene database
http://mips.helmholtz-muenchen.de/plant/athal/,SI,DEG
http://mbgd.genome.ad.jp/,SI,"
   RefSeq: NCBI Reference Sequence Database
  "
http://www.mirbase.org/,SI,Home
http://caps.ncbs.res.in/SSTOSS/index.htm,SI,Catalogue of Imprinted Genes and Parent-of-origin Effects in Humans and Animals
http://www.mitoproteome.org/,SI,MedlinePlus: Genetics
http://services.cbib.u-bordeaux.fr/molligen/,SI,algo salio mal
http://mips.gsf.de/proj/plant/jsf/rice/index.jsp,NO,Genomes Pages | EBI
http://www.plantenergy.uwa.edu.au/applications/mpimp/index.html,SI,"
            BiBiServ2 - 
        ERROR
    
        "
http://affymetrix.arabidopsis.info/,SI,Home - Genome - NCBI
http://www.ncbi.nlm.nih.gov/protein,SI,Genomicus v106.01 - Gene Search
http://www.helminth.net,NO,algo salio mal
http://www.nematodes.org/,NO,PDBe home < Node < EMBL-EBI
http://www.affymetrix.com/analysis/index.affx/analysis/index.affxanalysis/index.affx,NO,algo salio mal
http://www.receptors.org/NR/index.html,SI,GABI Primary Database ( GabiPD ) - Genomanalyse im biologischen System Pflanze
http://orf.invitrogen.com/,SI,algo salio mal
http://www.pantherdb.org/,SI,
http://www.pathbase.net/,NO,algo salio mal
http://shigen.lab.nig.ac.jp/ecoli/pec/,SI,
http://pede.dna.affrc.go.jp/,SI,
http://www.urogene.org/pgdb/,SI,"
            
RNAcentral: The non-coding RNA sequence database

        "
http://urgi.versailles.inra.fr/phytoprot/,SI,Chemistry - Queen Mary University of London
http://pir.georgetown.edu/pirsf/,SI,BioCyc Pathway/Genome Database Collection
http://linux1.softberry.com/berry.phtml?topic=plantprom&group=data&subgroup=plantprom,SI,algo salio mal
